Disease,Symptom(problem by user),Prescription and diagnosis
Acute lymphoblastic leukaemia,"pale skin
feeling tired and breathless
having repeated infections over a short space of time
unusual and frequent bleeding, such as bleeding gums or nose bleeds
high temperature (fever) of 38C (100.4F) or above
night sweats
bone and joint pain
easily bruised skin
swollen lymph nodes (glands)
abdominal pain – caused by a swollen liver or spleen
unexplained weight loss 
a purple skin rash (purpura)","The bone marrow will be checked for cancerous cells and – if found – the type of acute leukaemia will be determined at the same time. There are various additional tests: cytogenetic testing and immunophenotyping, CT scans and X ray. Treatment typically involves chemotherapy, targeted therapy, radiation therapy, and in some cases, stem cell transplantation."
Common Cold,feeling tired and breathless,"Rest, hydration, over-the-counter cold medications (decongestants, antihistamines, pain relievers)"
Influenza (Flu),having repeated infections over a short space of time,"Antiviral medications (if prescribed early), rest, fluids, over-the-counter pain relievers"
Pneumonia,"unusual and frequent bleeding, such as bleeding gums or nose bleeds","Antibiotics (for bacterial pneumonia), antiviral medications (for viral pneumonia), rest, hydration"
Gastroenteritis,high temperature (fever) of 38C (100.4F) or above,"Oral rehydration solutions, rest, avoiding solid foods initially, over-the-counter medications for symptoms"
Urinary Tract Infection,night sweats,"Antibiotics prescribed by a doctor, increased fluid intake, pain relievers for discomfort"
COVID-19 (Coronavirus),bone and joint pain,"Symptomatic treatment (e.g., fever reducers, cough suppressants), hospitalization and supportive care for severe cases"
Diabetes,easily bruised skin,"Insulin injections or oral medications, dietary changes, exercise, regular monitoring of blood sugar levels"
Hypertension,swollen lymph nodes (glands),"Lifestyle changes (healthy diet, exercise, stress reduction), medications prescribed by a doctor"
Asthma,abdominal pain – caused by a swollen liver or spleen,"Inhalers (bronchodilators, corticosteroids), avoiding triggers (allergens, smoke), monitoring symptoms"
Allergies,unexplained weight loss,"Antihistamines, decongestants, nasal corticosteroids, avoiding allergens when possible"
Migraine,a purple skin rash (purpura),"Pain relievers (e.g., ibuprofen, acetaminophen), triptans, preventive medications, rest in a quiet, dark room"
Arthritis,"Joint pain, stiffness, swelling, decreased range of motion","Pain relievers (NSAIDs), corticosteroids, disease-modifying antirheumatic drugs (DMARDs), physical therapy, lifestyle modifications"
Osteoporosis,"Back pain, loss of height over time, stooped posture, bone fractures","Calcium and vitamin D supplements, medications to prevent bone loss (bisphosphonates, hormone therapy), exercise"
Depression,"Persistent sadness, feelings of hopelessness, loss of interest in activities, changes in appetite or sleep","Psychotherapy (counseling), antidepressant medications, lifestyle changes (exercise, social support)"
Anxiety Disorders,"Excessive worrying, restlessness, irritability, muscle tension, difficulty concentrating","Therapy (cognitive-behavioral therapy), medications (antidepressants, anti-anxiety drugs), relaxation techniques"
Stroke,"Sudden numbness or weakness of the face, arm, or leg (usually on one side of the body), confusion, trouble speaking or understanding, trouble walking, dizziness, severe headache","Emergency medical attention (clot-busting drugs, thrombectomy), rehabilitation therapy"
Heart Attack,"Chest pain or discomfort, upper body pain or discomfort in the arms, back, neck, jaw, or upper stomach, shortness of breath, nausea, lightheadedness","Emergency medical attention (aspirin, clot-busting drugs, angioplasty), cardiac rehabilitation"
